Plot,Q1,Q2,Q3,Q4,Q5,Genre
"Bullabbayi (Sivaji) is fond of his sister-in-law Rajeswari (Meera Jasmine). He loves her so much and wanted to be flawless with good character. Though Rajeswari behaves that she is not interested in him, she really loves him. Bullabbayi has a property dispute with his stepbrother Veerababu (Subbaraju). In a bid to save a girl called Chintamani (Sangeeta) from being sold by a brothel owner (Anuradha) to Veerababu, Bullabbayi pays her money and takes Chintamani with him and keeps her in his outhouse. Bullabbayi tells her to leave the place the next day, but accidentally, seduces Chintamani, after an attack by Veerababu's men against him. Being an honest boy, Bullabbayi reveals everything to his father-in-law and urges him to stop the marriage, but the latter refuses to do so. Again, Bullabbayi innocently reveals the incident to Rajeswari as he doesn't want to cheat her that he was pious and flawless. Rajeswari attempts suicide and gets saved by Bullabbayi. However, Rajeswari refuses to share the marital life with Bullabbayi. A few days later, her father convinces her and appeals to honour his honesty. Being impressed with his innocence, Rajeswari allows him into the bedroom and they enjoy a good family life. As a result, Rajeswari turns pregnant, so also Chintamani. How Bullabbayi managed both his pregnant wives? Did Chintamani comes into the life of Rajeswari? Did Rajeswari keep mum on learning Chintamani was also pregnant and Bullabbayi continued to pamper her? What happened to the property dispute between Bullabbayi and Veerababu? How Veerababu reacted against Bullabbayi? Answers to all these questions form part of the climax.",0,1,1,0,1,drama
A woman (Carole Landis) and a U.S. captain (Henry Wilcoxon) foil a German spy's (Onslow Stevens) plan to use their freighter to sink a British ship.,0,0,0,0,0,drama
"The story begins with Mattie Michael (Oprah Winfrey) moving into Brewster Place, a run-down urban tenement. She then reflects upon her life, which is told in flashback. As a young girl, Mattie resides on a farm with her parents. She is later seduced by a local womanizer named Butch Fuller and becomes pregnant. When Mattie refuses to tell her father the name of the man responsible, a violent confrontation ensues. Afterwards, Mattie leaves home and stays with her friend Etta Mae Johnson (Jackée) until her son Basil is born.
When Etta Mae decides to move to New York City, Mattie struggles to find another place to live. By chance, she meets an old woman, Miss Eva Turner (Barbara Montgomery), who allows Mattie and Basil to live with her, refusing to charge them any rent. Miss Eva is also raising her baby granddaughter Ciel, who was abandoned by her parents shortly after her birth. Ciel and Basil grow up together with Miss Eva providing child care while Mattie continues to work. When Miss Eva dies unexpectedly, Ciel's parents reappear, and take her with them. Mattie buys the house, using the money she secretly set aside for the rent that Miss Eva never did charge.
Basil grows into a spoiled, irresponsible young man due to Mattie's overbearing parenting and her hesitation to pursue any romantic relationships for herself. One night Basil is arrested and thrown in jail for killing a man during a bar fight. He complains to Mattie about the horrid conditions of the jail but refuses to take responsibility for his actions. Mattie then puts up her house as bail for Basil, but when he flees town, Mattie is forced to leave her home.
With nowhere else to go, she moves to Brewster Place where she is welcomed by the now-adult Ciel (Lynn Whitfield). Other residents of Brewster Place include Ben, the elderly handyman (Moses Gunn); Cora Lee, a welfare mother with six unruly children by different fathers (Phyllis Yvonne Stickney); Miss Sophie, an elderly self-righteous gossip (Olivia Cole); and a young educated couple, Melanie ""Kiswana"" Browne (Robin Givens) and her boyfriend Abshu (Leon). Mattie's old friend Etta Mae, who has grown weary of living life in the fast lane, soon returns to live with Mattie. She hopes to meet a nice man to settle down within her old age, but her efforts come to naught.
Ciel has a loving adoration for her infant daughter Serena but has an equally troubled relationship with her husband Gene (William Allen Young), a dock worker who periodically drifts in and out of their lives. Ciel still loves Gene and welcomes him back when he suddenly returns, but she finds herself pregnant again. Frustrated about his current unemployment, he cruelly rejects the prospect of another child. Ciel then aborts the child but learns that Gene is planning to leave again and confronts him. As they argue, in the next room, Serena is electrocuted as she sticks a pair of scissors into a nearby outlet. Traumatized and deeply grieved by her daughter's loss, Ciel falls into a deep depression, willing herself to die. Mattie boldly declares that she will allow Ciel to leave this world ""over her dead body."" After nursing her back to health, Mattie discovers that Ciel has disappeared, taking her belongings with her.
Unlike the other residents, Melanie's family is affluent, and her parents are horrified at her living conditions. Melanie, who wants to be called ""Kiswana"", resides in Brewster Place for financial independence from her parents. She hopes to connect to the surrounding black community, and her African roots as well. Melanie's mother, Mrs. Browne (Cicely Tyson), visits her apartment and the two quickly butt heads. Melanie accuses her mother of being disconnected from her African roots and harboring shame over her blackness. Mrs. Browne passionately addresses Melanie's lack of understanding regarding the depth of her own family's history and legacy. Melanie and Abshu try to improve the lives of the other residents by starting a tenants' association; the goal being to rally together and take action against the landlord for lack of building maintenance.
At the tenants' meetings, the residents seem more interested in airing their grievances with each other than in banding together against the landlord as a common enemy. Undeterred, Melanie even paints colorful murals on the brick wall that the other tenants despise, and the local gang of thugs led by drug dealer C.C. (Glenn Plummer) gather near and paint graffiti on. She eventually connects with Cora Lee, and invites her and her children to Abshu's modern production of A Midsummer Night's Dream. The fun-filled experience reestablishes Cora Lee's faith in her children and her role as a parent.
A lesbian couple, Lorraine (Lonette McKee) and Theresa ""Tee"" (Paula Kelly) move into Brewster Place, much to the dismay of Miss Sophie who spies on them through her window and spreads malicious gossip about them. She later humiliates Lorraine at a tenants' meeting, only to be embarrassed by Ben, who comes to Lorraine's defense. Miss Sophie is further excoriated by Melanie, who orders her out of her apartment. Lorraine is consoled by Ben and the two become friends. Lorraine wants to fit in with the neighbors, worried that she will lose her job as a teacher if her sexuality is discovered. She has already moved from two previous neighborhoods because of her fear of gossip. Tee, on the other hand, is friendly but doesn't care if the neighbors accept her and don't want to socialize with them. She is happy socializing with other gay people and thinks Lorraine should just accept that being a lesbian makes one ""different"" from other people. Lorraine, however, refuses to accept that.
Melanie and Abshu organize a block party to raise money for a lawyer to fight the landlord, and all the residents except Lorraine and Tee attend. Ciel makes a surprise appearance at the party and is happily reunited with her friends Mattie and Etta Mae. Lorraine and Tee are due to attend another party at a gay club, but get into an argument, and Lorraine leaves the house alone. She knocks on Ben's door, unaware that he's at the block party. She is then accosted by C.C. who violently rapes her and leaves her, bleeding and battered, behind the trash cans near the brick wall. Ben discovers her while helping with the trash cleanup from the party. He attempts to help her, but Lorraine, emotionally scarred from her attack, beats him away with a board. She then holds off all the other residents until the ambulance arrives, taking both her and Ben away along with Tee, who found out about the incident from one of the neighbors. Mattie, whose anger has finally overcome her feelings that any action to better her life is useless, grabs a crowbar and starts to chip away at the much-despised brick wall. All the other residents grab tools and, finally coming together as a community, join together in knocking down the wall.",1,1,1,1,1,drama
"Charlie Ryan (Burns) returns to his hometown after failed attempts at unmentioned endeavors in California. It becomes apparent that his mother no longer finds Charlie's Kerouac-like tendencies to be entertaining as one of her first greetings is telling Charlie she's not going to put up with his crap this time.
At first Charlie lays low, embarrassed he's returned home empty handed and unaccomplished. Hero to most of his childhood friends, Charlie appears to be the only one who left their small east coast sea-side town after high school. Word does soon travel instigating a visit from one of Charlie's best high school buds. Michael, (Bon Jovi) a thoroughly blue collar kind of guy, is interested in more than just saying hello after all these years. Michael's idea of catching up is letting Charlie know that Claudia and Michael are living together and are planning to be married. Although Charlie tells Michael he is okay with how things have changed, he is shocked and hurt.
Claudia,(Holly) it turns out, is a waitress in the small-town luncheonette, complete with skirted pink uniforms and is Charlie's high school sweetheart, whom he left behind in the wake of an unwanted pregnancy and abortion. Charlie visits Claudia at work despite his knowledge of her relationship with Michael. Still hurt from Charlie's post-high school departure, she tells Charlie to leave her alone. Stuck there most of her life and as her 30th birthday approaches, Claudia dreams of bigger things, but if afraid to take a chance.
Other subplots surrounding the love triangle include Claudia's sister, Kelly (Britton) who still lives at home and laments the absence of quality dating material. An even sadder subplot involves Claudia and Kelly's mother (Danner) who still holds a torch for her husband/father of the girls, even though he has left them. Their mother foolishly and unrealistically maintains that her husband will return, repeating to her daughters that he has done this before and came back. Claudia's best friend (Esposito) is so lonely she is willing to throw herself at the recently singled, bald pizza guy.
Making matters worse for Claudia is Michael's desire to get married and settle down, which was discussed before Charlie's return, but is now being sought by Michael in earnest. Beaten down, free-spirit Claudia takes stock of her life and the people around her in the small town and decides she is not ready to be someone's wife, worrying that once she settled for that, it's all she would ever be. Claudia is crushed at her mother's hidden pain and the unrealistic belief that her family will be reunited.
Charlie is finally able to wear Claudia down and she leaves work early at the luncheonette to spend the night with him. Feeling nostalgic and giddy, the two declare their love for each other and begin a plan to run away together. During this conversation, Claudia tells Charlie there were complications with her abortion and is likely unable to have children. They drive to a motel, but once they are alone, both become thoughtful and somber at the potential of their future together. Meanwhile, when Claudia doesn't come home, Michael checks all their regular hang-outs, increasingly suspicious after it appears Charlie is also nowhere to be found. When Michael checks with Claudia's best friend's house, he rebuffs her blatant attempt to seduce him.
Claudia arrives home early the next morning to Michael sitting at their kitchen table, obviously knowing where she has been. He tells her he doesn't deserve to be treated this way and yells at her to leave.
Claudia spends several days of thinking of her life, anguishing over being stuck between Charlie who would offer her excitement, adventure and unpredictability or Michael who would offer her stability, security and a stifling predictability. She consults her mother who has finally come out of her hazy denial after receiving a call from her husband who stated he would not be calling anymore and did not want to be contacted. Her mother tells Claudia to follow her own instincts and make herself happy.
In the last scenes, Claudia tells Charlie she has decided not to leave with him and is also not staying with Michael. She tells Charlie she needs to leave by herself and be on her own for a while. She tells Charlie that he of all people should understand that, to which he agrees.
Suitcase in trunk, Claudia is seen driving away alone looking happily uncertain but determined to make herself happy.",1,0,1,1,1,drama
"The film follows the lives of Roman and Lucy, two people living difficult lives in a small, frozen town of Apex, Nunavut, Canada.[4] They are in love, but Lucy tells Roman that she must leave as a stalker has followed her. Roman tells her that he cannot leave and go south again, because of dark things in his own past. He tries to get her to go without him, and is even pushed to the brink of suicide. Eventually, he knows that he must go with her.
Roman can talk to bears which only he, it seems, can hear talking back, and a polar bear who talks to him about life makes several appearances in the story. On their snowmobile journey south, they are warned of a blizzard, but seek shelter in an abandoned military base instead of going back. Lucy comes to believe that her stalker has followed them there. It is then revealed that the stalker is in her mind, her dead abusive father. Roman burns the military base in order to prove that her father is now dead forever and can no longer follow her.
Seeking shelter in a snow cave, Roman and Lucy talk about a herd of caribou that they had found frozen in a lake earlier in their journey. They compare their lives to these animals, being led on a path and unable to get off, with all of them drowning. As the lovers begin to succumb to the intense temperature, the bear appears again, revealing that he is God and promising to Roman that he and Lucy will see each other again. The final scene shows the lovers' now dead, frozen bodies being cut out of the snow and lifted away by a helicopter.",1,1,0,1,1,drama
"In the present, adult siblings Michael and Carolyn arrive at the Iowa farmhouse of Francesca Johnson, their recently deceased, elderly mother, to see about the settlement of their mother's estate. As they go through the contents of her safe deposit box and the will, they are baffled to discover that their mother left very specific instructions that her body be cremated and her ashes thrown off the nearby Roseman Covered Bridge, which is not in accordance with the burial arrangements their parents had made: side-by-side plots in the local cemetery. Michael initially refuses to comply with the cremation, while Carolyn discovers a set of photos of her mother and a letter. She manages to convince Michael to set aside his initial reaction so they can read the documents she has discovered. Once alone, they go through a series of letters from a man named Robert Kincaid to their mother. The siblings find their way to a chest where their mother left a letter, a series of diaries, photographs, old cameras and other mementos.
They discovered that in 1965, their mother, an Italian war bride, had a four-day affair with Robert Kincaid, a travelling professional photographer who had come to Madison County, Iowa, to shoot a photographic essay for National Geographic on the covered bridges in the area.[6] The affair took place while her husband and children were at the state fair in Illinois.
The story in the diaries also reveals the impact the affair had on the lives of Francesca and Robert, since they almost ran away together, so she could travel the world with him. However, after a wrenching period of decision-making, she decided to stay at the last minute after considering the bigger picture that includes the consequences leaving would have on the lives of her teenage children and husband, who was a good, loving man. Kincaid is very moved by meeting her. He finds meaning and his true calling as an artist. The story also has deep consequences on the lives of Michael and Carolyn, who are both experiencing marital problems. Their mother’s story helped them to find a sense of direction in their lives. At the end, the Johnson siblings comply with their mother’s request and scatter their mother's ashes at the covered bridge.",0,1,1,0,1,drama
"In World War II London, fire wardens Josephine ""Jody"" Norris (Olivia de Havilland) and Lord Desham (Roland Culver) keep a lonely vigil. When Jody saves Desham's life, they become better acquainted. With a bit of coaxing, the ageing spinster tells the story of her life, leading to a flashback.
Jody is the belle of her small American hometown of Piersen Falls. Both Alex Piersen (Phillip Terry) and traveling salesman Mac Tilton (Bill Goodwin) propose to her. However, she turns them both down. A disappointed Alex marries Corinne (Mary Anderson). When handsome US Army Air Service fighter pilot Captain Bart Cosgrove (John Lund) flies in to promote a World War I bond drive, he and Jody quickly fall in love, though they have only one night together.
A pregnant Jody is advised (out of town) that her life is in danger and she needs an operation. She agrees, though she would lose her unborn child. However, when she learns that Bart has been killed in action, she changes her mind. She secretly gives birth to their son in 1919. She tries to arrange it so that she can ""adopt"" the boy without scandal by having him left on the doorstep of a family with too many children already, but the scheme backfires. Corinne loses her own newborn that same day, but is consoled by Jody's. Jody has to love her son, named Gregory or ""Griggsy,"" from afar.
Jody's father dies, forcing her to sell the family drug store. When Jody asks to become Griggsy's nurse, Corinne turns her down; she has suspected all along that Jody is the boy's real mother. Knowing that her husband never loved her, Corinne is determined to keep the one person who does.
Jody moves to New York City to work for Mac. She discovers to her surprise that he is a bootlegger, using a cosmetics business as a front. The same day, the place is raided by the police, leaving Mac with nothing but the cosmetics equipment. Jody persuades him to make cold cream; with her drive and determination, she builds up a thriving business, and they become rich.
In 1924, she forces Corinne to give her Griggsy by threatening to block a desperately needed bank loan for Alex's failing business. After two months, however, the four-year-old (played by Billy Ward) is still so miserably homesick, Jody gives up and sends the boy back.
Heartbroken, Jody leaves the US to immerse herself in work, setting up and running the English branch of her Lady Vyvyan Cosmetics Company. During World War II, her son (also played by John Lund) becomes a pilot in the 8th Air Force. When he gets a leave in London, Jody meets his train and fusses over him. He only knows her as a family friend. Lord Desham, who is attracted to Jody, uses his influence to arrange for the young man to marry his WREN fiancée without the customary delay. After some broad hints from Desham, Lieutenant Pierson finally realizes why Jody has been so helpful and asks his mother (by that title) for a dance.",1,0,1,1,1,drama
"Barbara Covett is a history teacher at a comprehensive school in London. A spinster nearing retirement, her only comfort is her diary. When a new art teacher, Sheba Hart, joins the staff, Barbara is immediately attracted to her. Sheba is married to the much older Richard, and is just re-entering the work force after devoting herself to a special needs son.
Barbara later discovers that Sheba is having a sexual affair with a 15-year-old student, Steven Connolly, after seeing Sheba perform oral sex on him through the window. When Barbara confronts her, she recounts all the details of her involvement with the boy, and Sheba asks her not to tell the school administration until after Christmas, as she wants to be with her family. Barbara claims she has no intention of telling, providing Sheba ends the relationship immediately. Sheba tells Steven that the affair is over. However, when she refuses to give in to Barbara's demands on her time.
Barbara reveals the secret to a male teacher who tells her that he is attracted to Sheba and asks her to act as an intermediary. After the affair becomes public, Barbara and Sheba both lose their jobs. The head teacher, Sandy Pabblem, suspects that Barbara knew about the affair and did not notify the authorities, and also learned that a former teacher at the school had taken out a restraining order against Barbara for stalking her and her fiance.
Sheba is thrown out of her home by her husband, and moves into Barbara's house. Sheba is unaware that Barbara is the reason she was found out, believing the affair became known because Steven confessed it to his mother. When Sheba finds Barbara's diary and learns it was Barbara who leaked the story of the affair, she confronts Barbara and strikes her in anger. A row ensues, and Sheba runs outside with Barbara's journal to a crowd of reporters and photographers. When she becomes hemmed in by them, Barbara rescues her.
Sheba's emotions spent, and she quietly tells Barbara that she had initiated the friendship with her because she liked her and that they could have been friends. She leaves Barbara, placing the journal on the table, and returns to her family home. Richard and Sheba face one another silently for several moments, and then Richard allows her to enter. Sheba is subsequently sentenced to 10 months in prison.
Later, Barbara meets another younger woman who is reading a newspaper about the Sheba Hart affair. Barbara says she was acquainted with Sheba, but implies they hardly knew each other. Barbara introduces herself, invites the other woman to a concert, and the pair continue to talk.",0,1,1,1,1,drama
"The film tells the story of an attempted Russian infiltration of American industry, and includes a depiction of the ""nationalization of women"" under Bolshevism, including ""extras on horseback, rounding up women, throwing them into dungeons and beating them.""[3]
College graduate John King (Hughes) is sympathetic to the left in a general way. Then he is seduced, both romantically and politically, by Sophia Guerni (Du Brey), a female agitator. Her superior is the Bolshevik Boris Blotchi (Richardson), who has a ""wild dream of planting the scarlet seed of terrorism in American soil.""[4] Sofia and Boris turn their attention to the Weston shipyards that are managed by John's childhood sweetheart. The workers have valid grievances, but the Bolsheviks set out to manipulate the situation. They are ""the dangerous element following in the wake of labor as riffraff and ghouls follow an army.""[4] When they threaten John's earlier love, he has an epiphany and renounces revolutionary doctrine.[4]",1,0,0,1,0,drama
"Krishna (Vikram) is intellectually disabled and has the mental ability of a six-year old. He lives a peaceful life in the hill station of Ooty. He is cared for by Victor (Krishna Kumar), the owner of a chocolate factory where Krishna works. One day he excitedly announces to the village that he will become a father. That night, his daughter is born, but his wife Banumathy dies during childbirth. Unable to grasp the concept of death, he simply accepts that his wife has ""gone to God"" and starts life as a father. He names his daughter Nila, and raises her with love and care. She soon grows into a happy young girl (Sara). With the help of Victor and his other mentally challenged friends, Krishna enrolls Nila in school.
Nila adjusts herself to school life, and befriends the correspondent Shwetha Rajendran (Amala Paul), who develops a maternal bond with the girl. But when she sees Nila with Krishna and learns that it is his daughter, she recognises him from a photo her sister had shown of her lover. She realises Nila is her sister's daughter. She then refuses to let Nila stay with her dad as she is scared Krishna might unknowingly do something to his daughter. Soon a scuffle starts between Krishna and Shwetha's fiancé Karthik (Karthik Kumar). It is broken up by the entry of Shwetha's father Rajendran (Sachin Khedekar) who reveals that his other daughter was Banumathy, who became estranged from him by choosing to marry Krishna. He offers to take Krishna and Nila with him and claims that they are part of his family. Victor agrees and sends them with Rajendran.
At a distance from Chennai, Rajendran tricks Krishna into exiting the car, and abandons him. Distraught, Krishna wanders around the city asking passers-by where Nila is. He eventually arrives at a court, where he meets lawyer Vinod (Santhanam) who assumes that he is rich, and promises him that his boss will defend him. He introduces him to his boss/colleague Anuradha ""Anu"" Ragunathan (Anushka Shetty), who is hesitant to take up the case as she believes Krishna to be a lunatic. But soon, Victor arrives and explains Krishna's predicament and moved to tears, Anu agrees to help him.
She files a case against Rajendran, but loses hope when she learns that Rajendran's lawyer is Bashyam (Nassar), a feared senior lawyer who has never lost a case. The case is then heard in the high court, with both party arguing to the custody of the child.
Finally, Bashyam asks Krishna about how he can raise his daughter then to support her financially. Then after a quick show of father-daughter connection and affection, Bashyam withdraws and loses the case voluntarily. Giving Krishna his custody of his daughter, Bashyam leaves the court. After spending some time with his daughter, Krishna then takes her back to Shwetha, so that she will be raised financially stable and that she can become a doctor when she grows up. He returns to work at Victor's chocolate factory.",0,0,0,1,1,drama
